node_1,node_2,edge,chunk_id
Telomerase deficiency,Aging,is linked to,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_4
Number of daughter cells,Yeast replicative lifespan,is a measure of,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_4
Human aging,Organism-level processes,is about,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_4
Specialized signaling cells,Human aging,influences,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_4
Sugar sensing,Unicellular organism,differs from,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_4
Sugar sensing,Multicellular organism,differs from,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_4
Multicellular organism,Glucose homeostasis,maintain,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_4
multicellular organisms,glucose homeostasis,regulate,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_5
liver,signaling molecules,responds to,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_5
sugar-binding proteins,species,are evolutionarily conserved across,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_5
aging,universal aging mechanisms,is debated as a,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_5
model organisms,humans,used to extrapolate aging findings to,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_5
animal groups,lifespan,exhibit diverse,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_5
smaller-bodied species,shorter lifespan,exhibit,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_5
terrestrial organisms,aquatic organisms,aging is more prevalent in than,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_5
aging,terminal differentiation,is linked to,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_5
sexual reproduction,mortality,specialization during leads to,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_5
asexually reproducing organisms,senescence,often avoid,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_5
Obligate sexual reproduction,Mortality,Leads to,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_6
Obligate sexual reproduction,Senescence,Leads to,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_6
Parthenogenesis,Sexual reproduction,Utilizes mechanisms of,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_6
Asexual reproduction,Biological immortality,Can result in,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_6
Senescence,Physiological decline,Is characterized by,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_6
Asexual reproduction,Sessile organisms,Is common in,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_6
Motile organisms,Dispersal,Use sexual reproduction for,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_6
Senescence,Cell replacement,Emerges when downregulated,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_6
Senescence,Regeneration,Emerges when lost,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_6
Cell replacement,Continuous growth,Facilitates in,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_6
Senescence,Animal Kingdom,varies across,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_7
Continuously growing species,Negligible Senescence,exhibit,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_7
Cellular Damage,Mortality,is not the primary driver of,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_7
Cellular Repair Mechanisms,Eukaryotic Cells,are conserved across,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_7
Senescent Cells,Tissues,negatively impact,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_7
Senescent Cells,Pro-inflammatory Molecules,secrete,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_7
Senescent Cell Clearance,Lifespan,can extend,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_7
Cellular Senescence,Organismal Aging,link to overall aging is speculative,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_7
Organisms,Death,face destructive forces leading to,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_7
Senescence,Genetically Programmed Life History,depends on,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_7
Stochastic Processes,Senescence,drive in some animal groups,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_7
Aging,Animal kingdom,varies across,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_8
Stochastic damage,Senescence,drives in some species,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_8
Regenerative capacity,Stochastic damage,limits repair of,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_8
Quasi-programmed aging,Mammals,exhibited by,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_8
Developmental processes,Hyperfunction,leads to,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_8
Epigenetic modifications,Gene silencing,cause,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_8
DNA methylation,Epigenetic modifications,is a type of,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_8
Continuous growth,Senescence,delays symptoms of,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_8
Environmental factors,Lifespan,influences,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_8
Environmental factors,Immune response,induce,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_8
Insects,Mortality,damaged wings trigger,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_8
lifespan variation,environmental factors,is influenced by,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_9
long-lived species,baseline longevity potential,suggests,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_9
extrinsic mortality,lifespan,determines,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_9
predation,reduced lifespan,correlates with,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_9
rapid reproduction,nutrient-rich environment,is favored in,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_9
low predation,increased lifespan,promotes,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_9
environmental constraints,body size,affects,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_9
high extrinsic mortality,early sexual maturity,accelerates,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_9
seasonal food availability,asexual reproduction,can induce,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_9
continuous growth,longevity,contributes to,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_9
Life history traits,Survival,influences,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_10
Aquatic mammals,Body size,can reach large,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_10
Biomechanical constraints,Body size,constrains,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_10
Rodents,Incisors,possess continuously growing,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_10
Rodents,Regeneration,exhibit,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_10
Lifespan,Reproductive capacity,is sustained until end of life in long-lived mammals,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_10
Humans,Aging,exhibit age-related decline,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_10
Age-related diseases,Population size,influences,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_10
Food scarcity,Litter size,influences,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_10
Senescence,Age-related diseases,diverge,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_10
Immune system decline,Disease vulnerability,increases,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_10
Continuous growth,Mechanical factors,is limited by,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_10
Senescence,Mortality,can be decoupled from,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_10
Cellular damage,Senescence,causes,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_10
Aging,Mortality,is not universally linked to,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_11
Biological Immortality,Asexual Reproduction,enabled by,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_11
Biological Immortality,Tissue Regeneration,enabled by,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_11
High Cell Turnover,Accumulated Damage,prevents,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_11
Negligible Senescence,Continuous Growth,associated with,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_11
Cell Replacement,Age-Related Decline,mitigates,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_11
Senescence,Limited Regeneration,caused by,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_11
Senescence,Environmental Stress,can evolve due to,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_11
Sexual Reproduction,Mortality,correlates with,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_11
Species Dispersal,Asexual Reproduction,is better than,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_11
Interventions,Detrimental Effects of Senescence,should alleviate,542202416427cc5cfee198faf1f60116e42fdee8347c4020a394973894650235_11
