node_1,node_2,edge,chunk_id
Drug therapies,Pain relief,offer,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_5
Aging,Compromised homeostasis,principle of,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_5
Vulnerability,Physiological Reserves,characterized by decline in,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_6
Vulnerability,Adverse Outcomes,characterized by increased risk of,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_6
Vulnerability,Pain,frequently co-occurs with,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_6
Pain,Physiological Decline,may accelerate,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_6
Pain,Vulnerability,may increase,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_6
Pain Location,Impact,affects,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_6
Pain Treatment,Impact,affects,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_6
Pain Management,Care Strategies,may improve,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_6
Vulnerability Reduction,Pain Management,should consider,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_6
Comprehensive Interventions,Pain Management,includes,a5817ae8914c748fd33c870de18a01f8ef0b8dc274c9490593e3af8a9208d58c_6
