node_1,node_2,edge,chunk_id
mobility,visual frailty scale,is a factor in,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_2
functional status,visual frailty scale,is a factor in,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_2
frailty questionnaire,age,evaluates,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_2
frailty questionnaire,health status,evaluates,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_2
frailty questionnaire,activities of daily living,evaluates,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_2
frailty questionnaire,social support,evaluates,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_2
physical performance assessment,frailty,is a criteria for assessing,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_2
forward translation,frailty questionnaire,is a step in translating,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_2
backward translation,frailty questionnaire,is a step in translating,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_2
expert committee review,frailty questionnaire,is a step in translating,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_2
test-retest reliability assessment,frailty questionnaire,is a step in translating,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_2
Index test,Frailty,discriminates,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_3
Index test,Non-frailty,discriminates,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_3
Physical performance test,Frailty,defines,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_3
Physical performance test,Non-frailty,defines,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_3
ROC analysis,Discriminative ability,evaluates,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_3
AUC,Discriminative ability,quantifies,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_3
Cohen's kappa,Agreement,assesses,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_3
Factor analysis,Construct validity,evaluates,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_3
KMO,Sampling adequacy,quantifies,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_3
Bartlett's Test of Sphericity,Data suitability,assesses,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_3
Scale,Psychometric properties,assessed for,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_4
Factor analysis,Sampling adequacy,assessed using,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_4
Kaiser-Meyer-Olkin measure,Factor analysis,output of,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_4
Principal component analysis,Components,identified,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_4
Variance,Explained variance,is,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_4
Kuder–Richardson formula 20,Reliability,estimates,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_4
Physical performance test,Discriminative ability,reference standard for,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_4
AUC,Discriminative ability,quantifies,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_4
Convergent validity,Frailty scale,evaluated with,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_4
Convergent validity,Physical performance test,evaluated with,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_4
Frailty status,Kappa statistic,assessed with,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_4
Frailty assessment tool,Frailty classification,show agreement in,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_5
PRISMA-7 scale,CFS scale,correlates with,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_5
Fried frailty phenotype,SPPB test,correlates with,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_5
PRISMA-7 scale,Physical frailty,initially showed inadequate correlation with,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_5
PRISMA-7 scale,Social support question,correlation improved after removing question regarding,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_5
Frailty criteria,Validated translations,lacks for specific components,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_5
Fried frailty phenotype,Physical activity component,has,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_5
10-minute continuous walk,Inactivity,threshold for,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_5
Physical activity component,Frailty status,represents,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_5
Frailty assessment,Cultural factors,requires consideration of,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_5
Frailty assessment tools,National context,evaluated for applicability within,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_6
Frailty assessment tool,Physical activities (urban),modified to reflect,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_6
Translated frailty assessment tool,Functional independence measure,validated against,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_6
Functional independence measure,Cognitive impairment,sensitive to,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_6
Translated frailty assessment tool,Physical performance assessment,compared to,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_6
Physical performance assessment,Frailty,is a standard for measuring,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_6
Translated frailty screening tool,Physical performance assessment,validated against,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_6
Translated frailty screening tool,Cultural factors,modified due to,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_6
Validated frailty assessment tools,Frailty,useful for evaluating,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_6
Frailty,Clinical judgment,requires,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_6
Modified frailty assessment tool,Frailty status,demonstrates accuracy in describing,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_6
Assessment Tool,Systematic Reviews and Meta-Analyses,designed for,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_7
Assessment Tool,Target Population,used in,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_7
Social Support Item,Cultural Irrelevance,associated with,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_7
Frailty Assessment Tool,Modified Frailty Tool,is a,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_7
Modified Frailty Tool,Practicality,adapted for,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_7
Modified Frailty Tool,Frailty,assesses,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_7
Validated Frailty Scale,Frailty Assessment,used for,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_7
Validated Frailty Scale,Reliable Instrument,is a,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_7
Original Assessment Tool,Cultural Adjustments,requires,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_7
Frailty Assessment,Practicality,requires,6534e641fbcd3dde2f637b4c3cf8b1ab7638e1ac3ead4ead6741646ab0396d79_7
