node_1,node_2,edge,chunk_id
Immunofluorescence,Basonuclin cellular localization,assesses,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_3
RT-PCR,47S pre-rRNA level,quantifies,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_3
Northern blot analysis,47S pre-rRNA level,quantifies,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_3
Beta-actin mRNA,Normalization,used as control for,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_3
Mature ribosomal RNA,Normalization,used as control for,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_3
High cell density,47S pre-rRNA synthesis,reduces,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_3
Basonuclin depletion,47S pre-rRNA level,affects at higher cell densities,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_3
Ribosomal RNA synthesis,High cell density,is downregulated under,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_3
rRNA synthesis,cell culture density,decreases as,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_4
Zinc-finger protein,rRNA synthesis,regulates,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_4
Zinc-finger protein,RNA polymerase I,associates with,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_4
Zinc-finger protein,RPA194,co-precipitates with,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_4
Zinc-finger protein,RPA116,co-precipitates with,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_4
Upstream binding factor,RNA polymerase I,interacts with,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_4
Zinc-finger protein,RPA194,reduces association of,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_4
RPA194,rDNA promoter,decreased association of,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_4
Zinc-finger protein,RNA polymerase I,recruits/stabilizes,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_4
rDNA promoter,RNA polymerase I,is target of,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_4
Zinc-finger protein expression,siRNA,is reduced by,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_4
RNA interference,protein level,alters,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_5
RNA interference,protein complex binding,impacts,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_5
protein complex,rDNA promoter region,binds to,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_5
rDNA promoter region,rRNA production,regulates,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_5
protein,RNA polymerase complex,facilitates interaction with,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_5
RNA polymerase complex,rDNA promoter region,binds to,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_5
protein deficiency,rRNA production,reduces,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_5
rDNA promoter region,protein,is associated with,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_5
rDNA promoter region,DNA-binding protein,is associated with,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_5
rDNA promoter region,DNA methylation,is typically unmethylated,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_5
unmethylated DNA,active transcription,indicates,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_5
rDNA promoter region,sequence variations,analyzes,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_6
transcription start site,rDNA promoter region,is within,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_6
regulatory elements,rDNA promoter region,is within,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_6
Bisulfite sequencing,cytosine methylation patterns,determines,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_6
DNA fragments,protein complexes,are associated with,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_6
immunoprecipitation,DNA fragments,isolates,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_6
single nucleotide polymorphism,rDNA promoter region,identifies,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_6
consensus sequence,rDNA promoter region,is a reference point of,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_6
single nucleotide polymorphism frequency,rDNA promoter region,varies across,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_6
single nucleotide polymorphism distribution,protein complexes,is linked to,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_6
sequence variations,protein binding,influences,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_6
sequence variations,promoter activity,influences,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_6
rDNA promoter region,sequence variations (SNPs),exhibits,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_7
SNPs,rDNA promoter region,are found in,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_7
rDNA promoter,cloned promoter regions,consensus sequence determined from,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_7
clones,genomic DNA,derived from,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_7
clones,ChIP DNA,derived from,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_7
ChIP DNA,chromatin immunoprecipitation (ChIP),obtained through,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_7
ChIP,antibodies,uses,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_7
DNA binding protein,rDNA promoter,associated with,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_7
transcription initiation factor,rDNA promoter,associated with,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_7
transcription start site,SNP frequency,exhibits lower,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_7
Single Nucleotide Polymorphism,frequency,has,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_8
Promoter Sequence,sliding window analysis,analyzed using,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_8
SNP Frequency,nucleotide count,is ratio of SNPs to,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_8
Factor A associated promoter set,Promoter Sets,is one of the,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_8
Factor B associated promoter set,Promoter Sets,is one of the,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_8
Input promoter set,Promoter Sets,is one of the,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_8
Transcription Start Site,SNP frequency,affects,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_8
Transcription Factor,Promoter Interaction,is associated with,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_8
SNP frequency,Upstream Region,varies in,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_8
Regulatory Protein Binding,Sequence Variation,is linked to,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_8
Zinc-finger protein,rDNA promoter,is associated with,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_9
Chromatin immunoprecipitation (ChIP),Zinc-finger protein binding,demonstrates,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_9
Upstream binding factor (UBF),rDNA promoter,is associated with,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_9
RNA polymerase I (Pol I) subunit,rDNA promoter,associates with,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_9
Single nucleotide polymorphism (SNP),Pol I subunit-associated rDNA promoter,distribution within,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_9
Transcription start site (TSS),Single nucleotide polymorphism (SNP) frequency,region relative to,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_9
Zinc-finger protein,Single nucleotide polymorphism (SNP) distribution,expression alters,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_9
Zinc-finger protein,RNA polymerase I (Pol I) subunits,forms a complex with,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_9
Pre-ribosomal RNA levels,Zinc-finger protein,is partially reduced by knockdown of,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_9
rDNA promoter,mutation and selection,undergo interplay between,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_9
SNPs,rDNA promoters,are found in,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_10
human cells,SNPs,contain,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_10
mouse rDNA promoters,SNPs,have minimal,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_10
random mutation,selection pressure,combine to produce,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_10
cell culture,SNPs,leads to,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_10
5' transcribed region of pre-rRNA,SNPs,contains random distribution of,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_10
transcription factor binding sites,SNP distribution,exhibits distinct patterns of,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_10
protein complexes,separate,are,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_10
chromatin structure,promoter subsets,distinguishes,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_10
sequence-specificity of zinc fingers,relaxed,is,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_10
SNPs,DNA sequence,probe for functional constraints on,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_10
high SNP frequency,selective pressure,results from lack of,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_10
epigenetic modifications,promoter subsets,contributes to distinguishing,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_10
rDNA promoters,promoter function,are important for,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_10
rRNA synthesis,regulation,governs,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_11
UBF-Pol I complex,rDNA regions,associated with,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_11
SNP frequencies,selective pressure,indicate low,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_11
pre-rRNA levels,Pol I transcription foci,despite reduced,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_11
rRNA synthesis,rRNA synthesis assays,limitation in,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_11
rRNA synthesis,cell type,is specific to,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_11
rRNA synthesis pathways,proliferation,diverge from established,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_11
rDNA transcription,cell-type-specific factors,regulated by,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_11
HaCaT cells,DMEM,cultured in,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_11
immunoprecipitation,antibodies,experiments performed using,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_11
Human Keratinocyte Cells,Chamber Slides,grown on,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_12
Immunoprecipitation,Cell Lysates,uses,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_12
Cell Lysates,"Detergents, EDTA, Protease Inhibitors",contains,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_12
Cell Lysates,Antibodies,incubated with,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_12
siRNAs,Basonuclin Expression,reduces,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_12
Gel Electrophoresis,Proteins,separates,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_12
Membranes,Primary Antibodies,incubated with,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_12
Total RNA,Cells,isolated from,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_12
DNA Probe,RNA,hybridized with,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_12
Chromatin Immunoprecipitation,Formaldehyde,fixed with,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_12
Antibody,Chromatin Immunoprecipitation,Used in,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_13
Cells,Formaldehyde,Fixed with,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_13
Cells,Sonication,Lysed via,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_13
Antibody,Chromatin,Immunoprecipitates,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_13
Protein-DNA Complexes,Protein and DNA,Captured using,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_13
DNA,Organic Extraction,Extracted using,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_13
DNA,Primer,Ligated to,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_13
PCR Product,Gel Electrophoresis,Separated via,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_13
PCR Product,Plasmid Vector,Cloned into,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_13
Bisulfite Sequencing,Commercial Kit,Performed using,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_13
Sequence Data,Statistical Analysis,Performed on,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_13
P-value,False Discovery Rate,Corrected with,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_13
Chromatin,Protein-DNA Interactions,Preserving,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_13
Formaldehyde,Protein-DNA Crosslinking,Used for,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_13
Bisulfite Sequencing,DNA Methylation,Determine,a1485385fdf96b1aac984fb8d819b28bab402ccdd523708ca6cb58fcdf044399_13
