node_1,node_2,edge,chunk_id
assessors,study hypothesis,blinded to,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_4
tablet,cognitive training,used for,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_4
frailty status,robust,classifies participants as,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_4
frailty status,pre-frail,classifies participants as,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_4
Training Program,Tablet Application,is delivered via,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_5
Introductory Session,Tablet,familiarizes with,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_5
Introductory Session,Application,familiarizes with,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_5
Introductory Session,Physical and Cognitive Exercises,familiarizes with,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_5
Motion Sensor,Body Movement,records,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_5
Physical Exercise Component,Personalized Exercise Program,involves,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_5
Cognitive Training Component,Cognitive Activity,comprises,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_5
Word-Image Association Task,Learning Technique,employs,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_5
Attentional Flexibility Training,Dual-Task Performance,trains via,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_5
Virtual Environment,Dual-Task Performance,navigated in,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_5
Motion Sensor,Stimulus,responds to,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_5
Dual-task paradigm,Cognitive performance,assesses,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_6
Visual target detection task,Button press response,performed via,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_6
Motor target detection task,Foot tapping response,performed via,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_6
Motion sensor,Motor target detection task,monitors,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_6
Virtual vehicle speed,Dual-task paradigm difficulty,affects,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_6
Priority trial,Attention allocation strategy,varies by,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_6
Prospective memory task,Real-world task performance,integrated by,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_6
Virtual coach,User engagement,enhances,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_6
Active control group,Physical exercise program,participates in,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_6
Psychoeducational materials,Health and well-being outcomes,relates to,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_6
active control training program,physical activities,includes,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_7
active control training program,cognitive activities,includes,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_7
physical activities,strength,improves,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_7
physical activities,mobility,improves,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_7
physical activities,balance,improves,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_7
cognitive activities,crossword puzzles,includes,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_7
cognitive activities,Sudoku puzzles,includes,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_7
Timed Up and Go test,functional mobility,assesses,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_7
walking speed,physical function,is a measure of,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_7
lower extremity strength,physical function,is a measure of,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_7
balance,physical function,is a measure of,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_7
cognitive function,cognitive function,is a measure of,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_7
motion sensors,gait parameters,measures,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_7
countdown task,physical exercise,integrated into,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_7
Gait,Wearable Sensor,is assessed using,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_8
Wearable Sensor,Acceleration,measures,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_8
Wearable Sensor,Angular Velocity,measures,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_8
Wearable Sensor,Barometric Pressure,measures,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_8
Cognitive Function,Neuropsychological Test,is evaluated using,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_8
Global Cognition,Verbal Learning and Memory Test,is derived from tests of,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_8
Global Cognition,Logical Memory Test,is derived from tests of,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_8
Executive Function,Verbal Fluency Test,is derived from tests of,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_8
Affective State,Questionnaire,is measured using,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_8
Psychosocial Well-being,Questionnaire,is assessed using,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_8
Frailty Status,Marker-Stratified Design,uses,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_8
Sample Size Determination,Statistical Power,aims for sufficient,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_9
Frailty Status,Robust Frailty,includes,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_9
Frailty Status,Pre-frail Frailty,includes,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_9
Marker-stratified Design,Marker-by-Treatment Interaction,focuses on,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_9
Efficacy Analysis,Modified Intention-to-Treat Analysis,adheres to,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_9
Linear Mixed Model,Correlated Data,accommodates,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_9
Moderator Analysis,Age,assesses,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_9
Moderator Analysis,Sex,assesses,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_9
Moderator Analysis,Education Level,assesses,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_9
Adherence Sub-study,Quasi-Experimental Design,employs,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_9
Adherence Variables,Dose,includes,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_9
Adherence Variables,Volume,includes,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_9
Adherence Variables,Frequency,includes,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_9
Adherence,Training Time,monitored by recording,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_10
Adherence,Training Frequency,monitored by recording,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_10
Questionnaires,User Experience,assesses,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_10
User Experience,Attractiveness,includes,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_10
User Experience,Usability,includes,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_10
User Experience,Hedonic Qualities,includes,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_10
Acceptability,Enjoyment,includes,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_10
Acceptability,Safety,includes,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_10
Acceptability,Appropriateness,includes,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_10
Usability,Virtual Coach Effectiveness,includes,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_10
Usability,Social Interactions,includes,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_10
Polynomial Regression,Adherence Patterns,models,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_10
Fall Incidence,Adverse Events,is related to,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_10
Data Quality,Assessor Training,maintained through,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_10
home-based intervention,physical exercise,includes,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_11
home-based intervention,cognitive exercise,includes,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_11
home-based intervention,social interaction,includes,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_11
home-based intervention,adherence,enhances,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_11
adverse event,falls,primarily includes,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_11
clinical assessment,adverse event,monitors,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_11
mobility,motion sensor,is measured by,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_11
older adults,falls,are at risk of,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_11
virtual coach,feedback,provides,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_11
virtual coach,encouragement,provides,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_11
psychoeducational content,intervention effectiveness,enhances,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_11
adherence,trial period,monitored beyond,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_11
Computer-based exercise program,Older adults,Delivered to,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_12
Program adherence,Exercise frequency,Is monitored by,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_12
Program adherence,Exercise duration,Is monitored by,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_12
Program adherence,Exercise intensity,Is monitored by,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_12
Usability,Ease of use,Is defined as,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_12
Acceptability,Initial willingness to use program,Reflects,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_12
User experience,Overall user perceptions,Encompasses,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_12
Active control group,Different exercise program,Engages in,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_12
Feedback,Participant motivation,Boosts,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_12
Rewards,Participant motivation,Boosts,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_12
Physical health,Independent living,Supports,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_12
Cognitive health,Independent living,Supports,13cafd8e300862717f957cab88a29483b256e3cc689c93802632dc0edec09d9e_12
