node_1,node_2,edge,chunk_id
Quantitative PCR,Gene expression,validates,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_3
Gene expression data,Computational tool,analyzed by,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_3
Gene Expression Analysis,Age-Related Gene Expression Changes,investigates,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_4
Sequencing Reads,Low-Quality Reads,removes,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_4
Sequencing Reads,Adapter Sequences,removes,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_4
Clean Reads,Reference Genome,aligned to,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_4
FPKM,Gene Expression Levels,quantifies,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_4
FPKM,Sequencing Depth,normalizes for,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_4
FPKM,Gene Length,normalizes for,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_4
Differential Expression Analysis,Negative Binomial Model,conducted using,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_4
P-Values,False Discovery Rate,adjusted to control,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_4
Gene Ontology,Functional Categories,identifies,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_4
KEGG Pathway Analysis,Biological Pathways,identifies,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_4
Cell Populations,Cell Surface Markers,purified using,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_4
RNA Sequencing,Cell-Specific Markers Expression,confirms enrichment of,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_4
Microglia,Astrocytes,are isolated from,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_5
Whole brain,Microglia,source of,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_5
Whole brain,Astrocytes,source of,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_5
RNA sequencing,Gene expression,measures,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_5
Purified microglia,Microglial markers,express,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_5
Astrocyte samples,Contaminants,contain,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_5
Differential gene expression analysis,Age-associated changes,identifies,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_5
Microglia,Blood vessel formation,affects,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_5
Microglia,Cell adhesion,affects,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_5
Microglia,Immune response,affects,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_5
Aging,Transcriptional changes,causes,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_5
Microglia gene expression,Aging,changes with,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_6
RNA sequencing,Microglia,performed on isolated,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_6
Gene ontology analysis,Biological processes,highlighted altered,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_6
Oxidative phosphorylation,6-month old Microglia,enriched in,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_6
Response to cytokine,9-month old Microglia,enriched in,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_6
Positive regulation of cellular component movement,12-month old Microglia,enriched in,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_6
Age-up genes,Cytokine pathways,involved in,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_6
Age-up genes,Immunoregulatory processes,involved in,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_6
Age-down genes,Lysosomal function,involved in,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_6
Age-down genes,Toll-like receptor signaling,involved in,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_6
STEM analysis,Dynamic gene expression changes,identified genes with,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_6
Gene Expression,Brain Cell,occurs in,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_7
Brain Cell,Age,changes dynamically with,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_7
Short Time-series Expression Miner,Gene Cluster,identifies,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_7
Microglia,Fos Gene,increased expression of,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_7
Microglia,Csf1r Gene,decreased expression of,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_7
Microglial Gene,Brain Region,consistent across,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_7
Astrocyte,Age,varies in an age-dependent manner,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_7
Astrocyte,Ribonucleotide Metabolism,enriched for at 4 months,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_7
Aged Astrocyte,Alzheimer's Disease Risk Gene,increased expression in,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_7
Peptidase-Inhibitor Gene,Age,increased expression with,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_7
Astrocytes,Brain Cells,is a type of,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_8
Microglia,Brain Cells,is a type of,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_8
Astrocytes,Gene Expression,experiences changes in with aging,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_8
Microglia,Gene Expression,experiences changes in with aging,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_8
Astrocytes,Protein Processing,upregulates genes involved in,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_8
Astrocytes,Axon Growth,downregulates genes involved in limiting,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_8
Astrocytes,Matrix Degradation,downregulates genes involved in,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_8
Microglia,Astrocytes,induce inflammatory state in through cytokine secretion,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_8
Microglia,Myelination,downregulates genes that regulate,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_8
Microglia,Methionine Metabolism,upregulates genes that regulate,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_8
Quantitative PCR,Gene Expression Changes,validates,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_8
RNA Sequencing,Gene Expression Changes,results are validated by Quantitative PCR,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_8
Gene expression analysis,RNA sequencing,validates,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_9
Gene expression analysis,Microglia,performed on,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_9
Gene expression analysis,Astrocytes,performed on,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_9
In situ hybridization,age-related mRNA changes,validates,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_9
Microglia,specific markers,identified using,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_9
Astrocytes,specific markers,identified using,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_9
Upregulated gene,Age,increases with,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_9
Downregulated gene,Age,decreases with,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_9
Disease model mice,Age-altered genes,show higher expression of,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_9
Wild-type mice,Age-altered genes,show higher expression of genes that decrease with age,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_9
Microglia,Age-altered genes,expresses,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_9
Astrocytes,Age-altered genes,expresses,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_9
Gene expression analysis,Disease model,performed in,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_10
Gene expression analysis,Wild-type model,performed in,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_10
Age-upregulated genes,Disease model,exhibit higher expression in,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_10
Age-downregulated genes,Disease model,exhibit lower expression in,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_10
Microglia,Age-upregulated genes,exhibit increased expression of,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_10
Astrocytes,Age-upregulated genes,exhibit significantly upregulated expression of,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_10
Astrocytes,Age-downregulated genes,exhibit significantly downregulated expression of,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_10
Mitochondrion organization,Genes,are enriched in functions related to,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_10
Cellular respiration,Genes,are enriched in functions related to,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_10
Histone modification pathways,Genes,are associated with,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_10
Astrocytes,Transcription cofactor activity,are associated with,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_10
Astrocytes,Mitochondrial protein complex/membrane/matrix,are associated with,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_10
Gene expression,Astrocytes,analyzed in,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_11
Gene expression,Microglia,analyzed in,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_11
Microglia,Inflammatory response,show increased,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_11
Inflammatory response,Inflammatory genes,characterized by elevated expression of,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_11
Astrocytes,Peptidase inhibitor genes,upregulate,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_11
Astrocytes,Synapse-related genes,show decreased expression of,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_11
Astrocytes,Reactive astrocyte genes,show increased expression of,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_11
Aged astrocytes,Synapse elimination genes,upregulate,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_11
Aged astrocytes,Synaptic transmission genes,upregulate,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_11
Aged astrocytes,Protease inhibitors,increased expression of,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_11
Astrocytes,Neurons,protect,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_11
Serine proteases/MMPs inhibitors,Neuroinflammation,control,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_11
Microglia,Immune Cells,are brain-resident,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_12
Microglia,Neuroinflammation,involved in,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_12
Inflammation-related Genes,Microglia,have altered expression in,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_12
Inflammatory Cytokine Production,Microglial Activation,regulated by,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_12
Aging,Inflammatory Stimuli,increases immune cell response to,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_12
Circadian Rhythms,Immune Responses,linked to,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_12
Extracellular Matrix Serine Protease,Neurite Outgrowth,involved in,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_12
Angiogenesis,Innate Immune Inflammatory Responses,linked to,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_12
Blood-Brain Barrier,Immune Cell Migration,allows,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_12
Mitochondrial Organization,Aging Stages,active during different,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_12
Central Nervous System,Neurodegenerative Diseases,contributes to development of,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_13
Blood-Brain Barrier,Brain Endothelial Cells,formed by tight junctions between,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_13
Blood-Brain Barrier,Substance Transport,regulates,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_13
Aging,Blood-Brain Barrier Breakdown,associated with,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_13
Neurodegenerative Disease,Blood-Brain Barrier Breakdown,associated with,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_13
Immune Cells,Brain,enter,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_13
Immune Cells,Microglia,interact with,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_13
Activated Microglia,Inflammatory Molecules,release,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_13
Inflammatory Molecules,Blood-Brain Barrier Function,impair,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_13
Neuroinflammation,Microglial Activation,resulting in,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_13
Immune Cell Populations,Microglia Behavior,influence,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_13
Gene Expression,Therapeutic Targets,reveal,2ee6f627fd89f026f5d5108731c7908ec5ee30db24a4002adc26e50756b47cf5_13
