node_1,node_2,edge,chunk_id
L1HS,Hypermethylation,shows,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_6
Genomic environment,Transposable elements,influences methylation status of,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_6
LINE-1 elements,Transposable elements,are a type of,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_6
LINE1,CpG dinucleotides,contains,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_7
Demethylated LINE1 CpG dinucleotides,gene density,found more frequently in regions of low,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_7
L1M subfamily,Demethylated LINE1 CpG dinucleotides enrichment,shows statistically significant,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_7
L1P subfamily,Demethylated LINE1 CpG dinucleotides enrichment,does not show statistically significant,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_7
Senescent cells,SINEs,shows increased expression of,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_7
Senescent cells,LINE1,shows increased expression of,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_7
L1PA2,Senescent cells,expression not significantly altered in,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_7
Retrotransposable elements,Nuclear fractions,analyzed in,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_7
Retrotransposable elements,Cytosolic fractions,analyzed in,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_7
Retrotransposable element DNA copies,Nucleus,increase indicates enhanced sequence integration,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_7
Retrotransposable element DNA copies,Cytoplasm,increase indicates increase in retrotranscription,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_7
Retrotransposed Transposable Elements,Senescent Cells,present in,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_8
TE DNA copies,Nucleus,increase suggests enhanced sequence integration,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_8
TE DNA copies,Cytoplasm,increase indicates heightened retrotranscription,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_8
Senescent Endothelial Cells,Fibroblasts,have cytoplasmic fractions,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_8
DNA Sequences,Specific TE Family,derived from,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_8
DNA Demethylation,Senescent Endothelial Cells,occurs in,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_8
Demethylated Sites,TE Sequences,reveals hypomethylation of,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_8
Methylation,Active TEs,part of cellular defense mechanism,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_8
TE RNA Transcripts,Senescent Endothelial Cells,increase in,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_8
TE RNA Transcripts,Fibroblasts,increase in,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_8
Autonomous TE,Non-autonomous TE,machinery hijacked by,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_8
Demethylation,TE Transcription,can activate,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_8
senescent cells,retrotransposon RNA transcripts,exhibit elevated levels of,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_9
retrotransposon RNA transcripts,cellular senescence,is activated during,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_9
DNA methylation,cytoplasmic accumulation of retrotransposon DNA,loss of enables,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_9
cytoplasmic retrotransposon DNA,antiviral response,activates,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_9
antiviral response,type I interferon genes,increases expression of,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_9
retrotransposon activation,DNA damage,is associated with increased,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_9
retrotransposon activation,genome regulation,is associated with altered,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_9
retrotransposon activation,inflammation,promotes,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_9
DNA methylation,retrotransposon activation,loss of contributes to,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_9
pro-inflammatory secretome,pro-inflammatory molecules,spreads,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_9
pro-inflammatory molecules,age-related diseases,increases chances to develop,51bf9280a91de1ecd8f2bc91cb8646ed64de9bbf3919c175f4bbdd0bb3e04c33_9
